generations	U	S_0	A_0	O_0	fitness_function	fit_s	fit_h	mean_hetloci	var_hetloci	mean_homloci	var_homloci	mean_totmuts	var_totmuts	var_mean_totmuts	w_self	w_apomixis	w_outcross	w_popmean	IBD	S_secondary
  626	0.5	0	0	1	multiplicative	1	0.02	24.5	24.5	0	0	24.5	24.5	1	0	0	0.606531	0.606531	0	0
  631	0.5	0.02	0	0.98	multiplicative	1	0.02	24.4605	24.4765	0	0	24.4605	24.4765	1.00065	0.00152115	0	0.607011	0.594901	0.997494	5.11397e-05
  636	0.5	0.04	0	0.96	multiplicative	1	0.02	24.4186	24.4515	0	0	24.4186	24.4515	1.00135	0.0015402	0	0.607521	0.583282	0.997465	0.000105623
  643	0.5	0.06	0	0.94	multiplicative	1	0.02	24.3739	24.4249	0	0	24.3739	24.4249	1.00209	0.00156075	0	0.608066	0.571676	0.997433	0.000163808
  649	0.5	0.08	0	0.92	multiplicative	1	0.02	24.3261	24.3964	0	0	24.3261	24.3964	1.00289	0.00158302	0	0.608648	0.560083	0.997399	0.000226112
  657	0.5	0.1	0	0.9	multiplicative	1	0.02	24.275	24.3659	0	0	24.275	24.3659	1.00375	0.00160722	0	0.609272	0.548506	0.997362	0.000293019
  665	0.5	0.12	0	0.88	multiplicative	1	0.02	24.22	24.3331	0	0	24.22	24.3331	1.00467	0.00163365	0	0.609944	0.536947	0.997322	0.000365098
  674	0.5	0.14	0	0.86	multiplicative	1	0.02	24.1607	24.2976	0	0	24.1607	24.2976	1.00567	0.00166263	0	0.610669	0.525408	0.997277	0.000443024
  684	0.5	0.16	0	0.84	multiplicative	1	0.02	24.0966	24.2593	0	0	24.0966	24.2593	1.00675	0.00169458	0	0.611454	0.513893	0.997229	0.000527605
  696	0.5	0.18	0	0.82	multiplicative	1	0.02	24.0269	24.2175	0	0	24.0269	24.2175	1.00793	0.00173	0	0.612309	0.502405	0.997175	0.000619818
  709	0.5	0.2	0	0.8	multiplicative	1	0.02	23.9508	24.1719	0	0	23.9508	24.1719	1.00923	0.00176953	0	0.613243	0.490949	0.997114	0.000720863
  725	0.5	0.22	0	0.78	multiplicative	1	0.02	23.8672	24.1217	0	0	23.8672	24.1217	1.01066	0.00181401	0	0.614271	0.479531	0.997047	0.000832233
  743	0.5	0.24	0	0.76	multiplicative	1	0.02	23.7749	24.0662	0	0	23.7749	24.0662	1.01225	0.00186448	0	0.615409	0.468159	0.99697	0.000955822
