generations	U	S_0	A_0	O_0	fitness_function	fit_s	fit_h	mean_hetloci	var_hetloci	mean_homloci	var_homloci	mean_totmuts	var_totmuts	var_mean_totmuts	w_self	w_apomixis	w_outcross	w_popmean	IBD	S_secondary
  640	1	0	0	1	multiplicative	1	0.02	48.9999	48.9999	0	0	48.9999	48.9999	1	0	0	0.36788	0.36788	0	0
  640	1	0.02	0	0.98	multiplicative	1	0.02	48.9997	48.9998	0	0	48.9997	48.9998	1	2.26071e-06	0	0.367882	0.360524	0.999994	1.25412e-07
  641	1	0.04	0	0.96	multiplicative	1	0.02	48.9994	48.9998	0	0	48.9994	48.9998	1.00001	2.26105e-06	0	0.367884	0.353169	0.999994	2.56088e-07
  641	1	0.06	0	0.94	multiplicative	1	0.02	48.9991	48.9997	0	0	48.9991	48.9997	1.00001	2.26141e-06	0	0.367886	0.345813	0.999994	3.92364e-07
  641	1	0.08	0	0.92	multiplicative	1	0.02	48.9989	48.9996	0	0	48.9989	48.9996	1.00001	2.26178e-06	0	0.367888	0.338457	0.999994	5.3461e-07
  641	1	0.1	0	0.9	multiplicative	1	0.02	48.9986	48.9995	0	0	48.9986	48.9995	1.00002	2.26217e-06	0	0.36789	0.331101	0.999994	6.83227e-07
  641	1	0.12	0	0.88	multiplicative	1	0.02	48.9983	48.9994	0	0	48.9983	48.9994	1.00002	2.26258e-06	0	0.367892	0.323745	0.999994	8.38652e-07
  642	1	0.14	0	0.86	multiplicative	1	0.02	48.998	48.9993	0	0	48.998	48.9993	1.00003	2.26301e-06	0	0.367895	0.31639	0.999994	1.00136e-06
  642	1	0.16	0	0.84	multiplicative	1	0.02	48.9976	48.9992	0	0	48.9976	48.9992	1.00003	2.26346e-06	0	0.367897	0.309034	0.999994	1.17189e-06
  642	1	0.18	0	0.82	multiplicative	1	0.02	48.9973	48.9991	0	0	48.9973	48.9991	1.00004	2.26394e-06	0	0.3679	0.301678	0.999994	1.35081e-06
  642	1	0.2	0	0.8	multiplicative	1	0.02	48.9969	48.999	0	0	48.9969	48.999	1.00004	2.26444e-06	0	0.367902	0.294322	0.999994	1.53875e-06
  643	1	0.22	0	0.78	multiplicative	1	0.02	48.9965	48.9989	0	0	48.9965	48.9989	1.00005	2.26497e-06	0	0.367905	0.286967	0.999994	1.73641e-06
  643	1	0.24	0	0.76	multiplicative	1	0.02	48.9961	48.9988	0	0	48.9961	48.9988	1.00005	2.26553e-06	0	0.367908	0.279611	0.999994	1.94458e-06
  643	1	0.26	0	0.74	multiplicative	1	0.02	48.9957	48.9986	0	0	48.9957	48.9986	1.00006	2.26612e-06	0	0.367911	0.272255	0.999994	2.16412e-06
  644	1	0.28	0	0.72	multiplicative	1	0.02	48.9952	48.9985	0	0	48.9952	48.9985	1.00007	2.26675e-06	0	0.367915	0.264899	0.999994	2.39597e-06
