generations	U	S_0	A_0	O_0	fitness_function	fit_s	fit_h	mean_hetloci	var_hetloci	mean_homloci	var_homloci	mean_totmuts	var_totmuts	var_mean_totmuts	w_self	w_apomixis	w_outcross	w_popmean	IBD	S_secondary
  567	1	0	0	1	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	0	0	1	1	0	0
  567	1	0.02	0	0.98	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	1.64059e-35	0	1	0.98	1	3.34813e-37
  567	1	0.04	0	0.96	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	1.64059e-35	0	1	0.96	1	6.83578e-37
  567	1	0.06	0	0.94	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	1.64059e-35	0	1	0.94	1	1.04718e-36
  567	1	0.08	0	0.92	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	1.64059e-35	0	1	0.92	1	1.4266e-36
  568	1	0.1	0	0.9	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	1.64058e-35	0	1	0.9	1	1.82287e-36
  568	1	0.12	0	0.88	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	1.64058e-35	0	1	0.88	1	2.23716e-36
  568	1	0.14	0	0.86	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	1.64058e-35	0	1	0.86	1	2.67072e-36
  568	1	0.16	0	0.84	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	1.64058e-35	0	1	0.84	1	3.12492e-36
  568	1	0.18	0	0.82	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	1.64058e-35	0	1	0.82	1	3.60128e-36
  568	1	0.2	0	0.8	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	1.64058e-35	0	1	0.8	1	4.10146e-36
  568	1	0.22	0	0.78	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	1.64058e-35	0	1	0.78	1	4.62729e-36
  568	1	0.24	0	0.76	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	1.64058e-35	0	1	0.76	1	5.18079e-36
  568	1	0.26	0	0.74	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	1.64058e-35	0	1	0.74	1	5.76422e-36
  568	1	0.28	0	0.72	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	1.64059e-35	0	1	0.72	1	6.38005e-36
  568	1	0.3	0	0.7	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	1.64059e-35	0	1	0.7	1	7.03108e-36
  568	1	0.32	0	0.68	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	1.64059e-35	0	1	0.68	1	7.7204e-36
  568	1	0.34	0	0.66	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	1.64059e-35	0	1	0.66	1	8.4515e-36
  569	1	0.36	0	0.64	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	1.64058e-35	0	1	0.64	1	9.22828e-36
  569	1	0.38	0	0.62	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	1.64058e-35	0	1	0.62	1	1.00552e-35
  569	1	0.4	0	0.6	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	1.64058e-35	0	1	0.6	1	1.09372e-35
  569	1	0.42	0	0.58	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	1.64058e-35	0	1	0.58	1	1.18801e-35
  569	1	0.44	0	0.56	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	1.64059e-35	0	1	0.56	1	1.28903e-35
  569	1	0.46	0	0.54	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	1.64059e-35	0	1	0.54	1	1.39754e-35
  570	1	0.48	0	0.52	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	1.64058e-35	0	1	0.52	1	1.51439e-35
  570	1	0.5	0	0.5	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	1.64058e-35	0	1	0.5	1	1.64058e-35
  570	1	0.52	0	0.48	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	1.64059e-35	0	1	0.48	1	1.7773e-35
  571	1	0.54	0	0.46	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	1.64058e-35	0	1	0.46	1	1.9259e-35
  572	1	0.56	0	0.44	multiplicative	1	0	456.844	377.684	0	0	456.844	377.684	0.826725	1.64058e-35	0	1	0.44	1	2.08802e-35
