generations	U	S_0	A_0	O_0	fitness_function	fit_s	fit_h	mean_hetloci	var_hetloci	mean_homloci	var_homloci	mean_totmuts	var_totmuts	var_mean_totmuts	w_self	w_apomixis	w_outcross	w_popmean	IBD	S_secondary
* 501	0.02	0.01	0	0.99	multiplicative	1	0.02	0.811514	0.814115	0	0	0.811514	0.814115	1.0032	0.805651	0	0.983507	0.981729	0.180839	0.00820645
  297	0.02	0.1	0	0.9	multiplicative	1	0.02	0.28241	0.285871	0	0	0.28241	0.285871	1.01226	0.924494	0	0.99397	0.987023	0.0698981	0.0936649
  175	0.02	0.2	0	0.8	multiplicative	1	0.02	0.153679	0.155687	0	0	0.153679	0.155687	1.01307	0.955913	0	0.996533	0.988409	0.040761	0.193425
  121	0.02	0.3	0	0.7	multiplicative	1	0.02	0.101598	0.102852	0	0	0.101598	0.102852	1.01235	0.96892	0	0.997571	0.988976	0.0287206	0.293916
  91	0.02	0.4	0	0.6	multiplicative	1	0.02	0.0735182	0.0743378	0	0	0.0735182	0.0743378	1.01115	0.976006	0	0.998131	0.989281	0.0221674	0.394632
  71	0.02	0.5	0	0.5	multiplicative	1	0.02	0.0559718	0.0565158	0	0	0.0559718	0.0565158	1.00972	0.980459	0	0.998482	0.98947	0.01805	0.495446
  58	0.02	0.6	0	0.4	multiplicative	1	0.02	0.0439715	0.044329	0	0	0.0439715	0.044329	1.00813	0.983517	0	0.998721	0.989599	0.0152241	0.596313
  48	0.02	0.7	0	0.3	multiplicative	1	0.02	0.0352476	0.035473	0	0	0.0352476	0.035473	1.00639	0.985746	0	0.998896	0.989691	0.0131644	0.69721
  41	0.02	0.8	0	0.2	multiplicative	1	0.02	0.0286197	0.0287483	0	0	0.0286197	0.0287483	1.00449	0.987443	0	0.999028	0.98976	0.0115966	0.798127
  35	0.02	0.9	0	0.1	multiplicative	1	0.02	0.0234134	0.0234692	0	0	0.0234134	0.0234692	1.00238	0.988778	0	0.999132	0.989813	0.0103633	0.899059
  31	0.02	0.99	0	0.01	multiplicative	1	0.02	0.0195985	0.0196035	0	0	0.0195985	0.0196035	1.00025	0.989757	0	0.999208	0.989852	0.00945846	0.989905
* 501	0.2	0.01	0	0.99	multiplicative	1	0.02	9.54475	9.58898	0	0	9.54475	9.58898	1.00463	0.0795329	0	0.822925	0.815491	0.903353	0.000975277
* 501	0.2	0.1	0	0.9	multiplicative	1	0.02	5.60952	6.04839	0	0	5.60952	6.04839	1.07824	0.224714	0	0.890344	0.823781	0.74761	0.0272783
  302	0.2	0.2	0	0.8	multiplicative	1	0.02	2.16833	2.45692	0	0	2.16833	2.45692	1.13309	0.545764	0	0.953765	0.872165	0.427779	0.125152
