generations	U	S_0	A_0	O_0	fitness_function	fit_s	fit_h	mean_hetloci	var_hetloci	mean_homloci	var_homloci	mean_totmuts	var_totmuts	var_mean_totmuts	w_self	w_apomixis	w_outcross	w_popmean	IBD	S_secondary
* 501	0.02	0.01	0	0.99	multiplicative	1	0	18.9244	18.9404	0	0	18.9244	18.9404	1.00085	0.00882365	0	1	0.990088	0.991176	8.91198e-05
* 501	0.02	0.1	0	0.9	multiplicative	1	0	0.419794	0.42749	0	0	0.419794	0.42749	1.01833	0.896098	0	1	0.98961	0.103902	0.0905506
  236	0.02	0.2	0	0.8	multiplicative	1	0	0.187741	0.190818	0	0	0.187741	0.190818	1.01639	0.949482	0	1	0.989896	0.0505181	0.191835
  146	0.02	0.3	0	0.7	multiplicative	1	0	0.116138	0.117823	0	0	0.116138	0.117823	1.01451	0.966589	0	1	0.989977	0.0334109	0.292913
  104	0.02	0.4	0	0.6	multiplicative	1	0	0.0812797	0.0823078	0	0	0.0812797	0.0823078	1.01265	0.975029	0	1	0.990012	0.0249708	0.393947
  78	0.02	0.5	0	0.5	multiplicative	1	0	0.0606506	0.0613046	0	0	0.0606506	0.0613046	1.01078	0.980059	0	1	0.99003	0.0199407	0.494965
  62	0.02	0.6	0	0.4	multiplicative	1	0	0.0470126	0.0474302	0	0	0.0470126	0.0474302	1.00888	0.983399	0	1	0.99004	0.0166008	0.595976
  51	0.02	0.7	0	0.3	multiplicative	1	0	0.0373259	0.0375836	0	0	0.0373259	0.0375836	1.0069	0.985779	0	1	0.990045	0.0142213	0.696983
  42	0.02	0.8	0	0.2	multiplicative	1	0	0.0300899	0.0302345	0	0	0.0300899	0.0302345	1.00481	0.98756	0	1	0.990048	0.0124399	0.79799
  36	0.02	0.9	0	0.1	multiplicative	1	0	0.0244787	0.0245406	0	0	0.0244787	0.0245406	1.00253	0.988944	0	1	0.990049	0.0110562	0.898995
  32	0.02	0.99	0	0.01	multiplicative	1	0	0.0204068	0.0204122	0	0	0.0204068	0.0204122	1.00027	0.989949	0	1	0.99005	0.0100507	0.989899
* 501	0.2	0.01	0	0.99	multiplicative	1	0	110.089	110.089	0	0	110.089	110.089	1	1.12581e-12	0	1	0.99	1	1.13719e-14
* 501	0.2	0.1	0	0.9	multiplicative	1	0	108.797	108.797	0	0	108.797	108.797	1	1.55238e-12	0	1	0.9	1	1.72487e-13
* 501	0.2	0.2	0	0.8	multiplicative	1	0	106.104	106.104	0	0	106.104	106.104	1	3.03565e-12	0	1	0.8	1	7.58914e-13
* 501	0.2	0.3	0	0.7	multiplicative	1	0	94.0832	94.0832	0	0	94.0832	94.0832	1	6.10019e-11	0	1	0.7	1	2.61437e-11
  139	0.2	0.4	0	0.6	multiplicative	1	0	0.96515	1.10221	0	0	0.96515	1.10221	1.14201	0.750512	0	1	0.900205	0.249488	0.333485
  91	0.2	0.5	0	0.5	multiplicative	1	0	0.676724	0.757674	0	0	0.676724	0.757674	1.11962	0.805198	0	1	0.902599	0.194802	0.446044
  67	0.2	0.6	0	0.4	multiplicative	1	0	0.505458	0.554814	0	0	0.505458	0.554814	1.09765	0.839594	0	1	0.903756	0.160406	0.557403
  52	0.2	0.7	0	0.3	multiplicative	1	0	0.391316	0.420817	0	0	0.391316	0.420817	1.07539	0.863365	0	1	0.904355	0.136635	0.668272
  42	0.2	0.8	0	0.2	multiplicative	1	0	0.309569	0.325732	0	0	0.309569	0.325732	1.05221	0.880827	0	1	0.904662	0.119173	0.778923
  36	0.2	0.9	0	0.1	multiplicative	1	0	0.248038	0.254833	0	0	0.248038	0.254833	1.02739	0.894223	0	1	0.904801	0.105777	0.889478
  32	0.2	0.99	0	0.01	multiplicative	1	0	0.204326	0.204916	0	0	0.204326	0.204916	1.00289	0.903876	0	1	0.904837	0.0961241	0.988948
  255	1	0.01	0	0.99	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-19	0	1	0.99	1	1.10378e-21
  255	1	0.1	0	0.9	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-19	0	1	0.9	1	1.21415e-20
  256	1	0.2	0	0.8	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-19	0	1	0.8	1	2.73184e-20
  256	1	0.3	0	0.7	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-19	0	1	0.7	1	4.68316e-20
  257	1	0.4	0	0.6	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-19	0	1	0.6	1	7.28491e-20
  258	1	0.5	0	0.5	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	1.09274e-19	0	1	0.5	1	1.09274e-19
  265	1	0.6	0	0.4	multiplicative	1	0	176.121	134.197	0	0	176.121	134.197	0.761958	5.07642e-11	0	1	0.4	1	7.61463e-11
  71	1	0.7	0	0.3	multiplicative	1	0	2.6868	4.28324	0	0	2.6868	4.28324	1.59418	0.417143	0	1	0.592	0.582857	0.493243
  44	1	0.8	0	0.2	multiplicative	1	0	1.8336	2.54525	0	0	1.8336	2.54525	1.38811	0.502787	0	1	0.60223	0.497213	0.667901
  35	1	0.9	0	0.1	multiplicative	1	0	1.33625	1.59992	0	0	1.33625	1.59992	1.19732	0.561923	0	1	0.605731	0.438077	0.83491
  30	1	0.99	0	0.01	multiplicative	1	0	1.02879	1.04989	0	0	1.02879	1.04989	1.02051	0.60255	0	1	0.606524	0.39745	0.983513
