generations	U	S_0	A_0	O_0	fitness_function	fit_s	fit_h	mean_hetloci	var_hetloci	mean_homloci	var_homloci	mean_totmuts	var_totmuts	var_mean_totmuts	w_self	w_apomixis	w_outcross	w_popmean	IBD	S_secondary
* 501	1.5	0	0	1	multiplicative	1	0.02	73.4975	73.4975	0	0	73.4975	73.4975	1	0	0	0.223142	0.223142	0	0
* 501	1.5	0.02	0	0.98	multiplicative	1	0.02	73.4975	73.4975	0	0	73.4975	73.4975	1	3.4006e-009	0	0.223142	0.218679	1	3.11013e-010
* 501	1.5	0.04	0	0.96	multiplicative	1	0.02	73.4974	73.4975	0	0	73.4974	73.4975	1	3.40062e-009	0	0.223142	0.214216	1	6.34989e-010
* 501	1.5	0.06	0	0.94	multiplicative	1	0.02	73.4974	73.4974	0	0	73.4974	73.4974	1	3.40064e-009	0	0.223142	0.209753	1	9.72754e-010
* 501	1.5	0.08	0	0.92	multiplicative	1	0.02	73.4974	73.4974	0	0	73.4974	73.4974	1	3.40066e-009	0	0.223142	0.20529	1	1.32521e-009
* 501	1.5	0.1	0	0.9	multiplicative	1	0.02	73.4974	73.4974	0	0	73.4974	73.4974	1	3.40068e-009	0	0.223142	0.200828	1	1.69333e-009
* 501	1.5	0.12	0	0.88	multiplicative	1	0.02	73.4974	73.4974	0	0	73.4974	73.4974	1	3.4007e-009	0	0.223142	0.196365	1	2.0782e-009
* 501	1.5	0.14	0	0.86	multiplicative	1	0.02	73.4974	73.4974	0	0	73.4974	73.4974	1	3.40073e-009	0	0.223142	0.191902	1	2.48096e-009
* 501	1.5	0.16	0	0.84	multiplicative	1	0.02	73.4974	73.4974	0	0	73.4974	73.4974	1	3.40075e-009	0	0.223142	0.187439	1	2.90292e-009
* 501	1.5	0.18	0	0.82	multiplicative	1	0.02	73.4974	73.4974	0	0	73.4974	73.4974	1	3.40078e-009	0	0.223142	0.182976	1	3.34546e-009
* 501	1.5	0.2	0	0.8	multiplicative	1	0.02	73.4974	73.4974	0	0	73.4974	73.4974	1	3.40081e-009	0	0.223142	0.178514	1	3.81014e-009
* 501	1.5	0.22	0	0.78	multiplicative	1	0.02	73.4974	73.4974	0	0	73.4974	73.4974	1	3.40083e-009	0	0.223142	0.174051	1	4.29865e-009
* 501	1.5	0.24	0	0.76	multiplicative	1	0.02	73.4974	73.4974	0	0	73.4974	73.4974	1	3.40086e-009	0	0.223142	0.169588	1	4.81289e-009
* 501	1.5	0.26	0	0.74	multiplicative	1	0.02	73.4974	73.4974	0	0	73.4974	73.4974	1	3.4009e-009	0	0.223142	0.165125	1	5.35493e-009
* 501	1.5	0.28	0	0.72	multiplicative	1	0.02	73.4974	73.4974	0	0	73.4974	73.4974	1	3.40093e-009	0	0.223142	0.160662	1	5.9271e-009
* 501	1.5	0.3	0	0.7	multiplicative	1	0.02	73.4974	73.4974	0	0	73.4974	73.4974	1	3.40097e-009	0	0.223142	0.156199	1	6.53197e-009
* 501	1.5	0.32	0	0.68	multiplicative	1	0.02	73.4974	73.4974	0	0	73.4974	73.4974	1	3.40101e-009	0	0.223142	0.151737	1	7.17245e-009
* 501	1.5	0.34	0	0.66	multiplicative	1	0.02	72.5094	77.3561	0	0	72.5094	77.3561	1.06684	0.000134654	0	0.22745	0.150163	0.999408	0.000304886
* 501	1.5	0.36	0	0.64	multiplicative	1	0.02	66.1752	75.7173	0	0	66.1752	75.7173	1.14419	0.000334604	0	0.258548	0.165591	0.998706	0.00072744
* 501	1.5	0.38	0	0.62	multiplicative	1	0.02	61.0645	76.7378	0	0	61.0645	76.7378	1.25667	0.000677576	0	0.286522	0.177901	0.997635	0.00144731
* 501	1.5	0.4	0	0.6	multiplicative	1	0.02	56.8902	76.0626	0	0	56.8902	76.0626	1.33701	0.00100016	0	0.311669	0.187402	0.996791	0.00213479
* 501	1.5	0.42	0	0.58	multiplicative	1	0.02	52.8744	75.727	0	0	52.8744	75.727	1.43221	0.00144426	0	0.33787	0.196571	0.995725	0.00308586
