
Trajectory	gen:1	type:1	freq:5	writenow:0	dropzero:1	atequilibrium:0	heterozygotes:0,500	homozygotes:0,40
heterozygote	homozygote	genotype	frequency
0	0	0	1.55539e-06
1	0	0	2.26421e-05
2	0	0	0.000164788
3	0	0	0.000794283
4	0	0	0.00283861
5	0	0	0.007996
6	0	0	0.0184506
7	0	0	0.0358176
8	0	0	0.0596551
9	0	0	0.0865367
10	0	0	0.110645
11	0	0	0.125902
12	0	0	0.128518
13	0	0	0.118475
14	0	0	0.0991927
15	0	0	0.0757938
16	0	0	0.0530783
17	0	0	0.0341923
18	0	0	0.0203272
19	0	0	0.0111845
20	0	0	0.00571042
21	0	0	0.00271167
22	0	0	0.00120017
23	0	0	0.000496041
24	0	0	0.000191793
25	0	0	6.94865e-05
26	0	0	2.36255e-05
27	0	0	7.54914e-06
28	0	0	2.27005e-06
29	0	0	6.43207e-07
30	0	0	1.7194e-07
31	0	0	4.34134e-08
32	0	0	1.03654e-08
33	0	0	2.34285e-09
34	0	0	5.01842e-10
35	0	0	1.01979e-10
36	0	0	1.96801e-11
37	0	0	3.61045e-12
38	0	0	6.30301e-13
39	0	0	1.04814e-13
40	0	0	1.66192e-14
41	0	0	2.51499e-15
42	0	0	3.63598e-16
43	0	0	5.02665e-17
44	0	0	6.65148e-18
45	0	0	8.43229e-19
46	0	0	1.02509e-19
47	0	0	1.19607e-20
48	0	0	1.34067e-21
49	0	0	1.4449e-22
50	0	0	1.49858e-23
51	0	0	1.49697e-24
52	0	0	1.44146e-25
53	0	0	1.33904e-26
54	0	0	1.20098e-27
55	0	0	1.04079e-28
56	0	0	8.72172e-30
57	0	0	7.07253e-31
58	0	0	5.55382e-32
59	0	0	4.22626e-33
60	0	0	3.11862e-34
61	0	0	2.23304e-35
62	0	0	1.55251e-36
63	0	0	1.0487e-37
64	0	0	6.88664e-39
65	0	0	4.39902e-40
66	0	0	2.73492e-41
67	0	0	1.65582e-42
68	0	0	9.76774e-44
69	0	0	5.6171e-45
70	0	0	3.15055e-46
71	0	0	1.72436e-47
72	0	0	9.21388e-49
73	0	0	4.80872e-50
74	0	0	2.45235e-51
75	0	0	1.22261e-52
76	0	0	5.9611e-54
77	0	0	2.84365e-55
78	0	0	1.32773e-56
79	0	0	6.06998e-58
80	0	0	2.71816e-59
81	0	0	1.19269e-60
82	0	0	5.12973e-62
83	0	0	2.16334e-63
84	0	0	8.94875e-65
85	0	0	3.63199e-66
86	0	0	1.4468e-67
87	0	0	5.65824e-69
88	0	0	2.17317e-70
89	0	0	8.19913e-72
90	0	0	3.03966e-73
91	0	0	1.1076e-74
92	0	0	3.96784e-76
93	0	0	1.39782e-77
94	0	0	4.84374e-79
95	0	0	1.65139e-80
96	0	0	5.54059e-82
97	0	0	1.8298e-83
98	0	0	5.94963e-85
99	0	0	1.90505e-86
100	0	0	6.00825e-88
101	0	0	1.86683e-89
102	0	0	5.71559e-91
103	0	0	1.72467e-92
104	0	0	5.13004e-94
105	0	0	1.50449e-95
106	0	0	4.35098e-97
107	0	0	1.24107e-98
108	0	0	3.49212e-100
109	0	0	9.69486e-102
110	0	0	2.65598e-103
111	0	0	7.18144e-105
112	0	0	1.91676e-106
113	0	0	5.05085e-108
114	0	0	1.31421e-109
115	0	0	3.37702e-111
116	0	0	8.57107e-113
117	0	0	2.14897e-114
118	0	0	5.32329e-116
119	0	0	1.303e-117
120	0	0	3.15194e-119
121	0	0	7.53599e-121
122	0	0	1.78109e-122
123	0	0	4.16169e-124
124	0	0	9.61487e-126
125	0	0	2.19665e-127
126	0	0	4.96331e-129
127	0	0	1.10924e-130
128	0	0	2.45229e-132
129	0	0	5.36364e-134
130	0	0	1.16074e-135
131	0	0	2.48566e-137
132	0	0	5.26777e-139
133	0	0	1.10493e-140
134	0	0	2.29406e-142
135	0	0	4.715e-144
136	0	0	9.59414e-146
137	0	0	1.93293e-147
138	0	0	3.85613e-149
139	0	0	7.61817e-151
140	0	0	1.49056e-152
141	0	0	2.88856e-154
142	0	0	5.54475e-156
143	0	0	1.05435e-157
144	0	0	1.9862e-159
145	0	0	3.707e-161
146	0	0	6.85516e-163
147	0	0	1.25613e-164
148	0	0	2.28085e-166
149	0	0	4.10424e-168
150	0	0	7.31923e-170
151	0	0	1.29365e-171
152	0	0	2.26625e-173
153	0	0	3.93512e-175
154	0	0	6.77305e-177
155	0	0	1.15559e-178
156	0	0	1.95447e-180
157	0	0	3.27699e-182
158	0	0	5.44694e-184
159	0	0	8.97576e-186
160	0	0	1.46636e-187
161	0	0	2.375e-189
162	0	0	3.81374e-191
163	0	0	6.0716e-193
164	0	0	9.58348e-195
165	0	0	1.49973e-196
166	0	0	2.32685e-198
167	0	0	3.57925e-200
168	0	0	5.45856e-202
169	0	0	8.25322e-204
170	0	0	1.23715e-205
171	0	0	1.83851e-207
172	0	0	2.70864e-209
173	0	0	3.95609e-211
174	0	0	5.72798e-213
175	0	0	8.22144e-215
176	0	0	1.16975e-216
177	0	0	1.64979e-218
178	0	0	2.30644e-220
179	0	0	3.19609e-222
180	0	0	4.38984e-224
181	0	0	5.97611e-226
182	0	0	8.06339e-228
183	0	0	1.07828e-229
184	0	0	1.42907e-231
185	0	0	1.87701e-233
186	0	0	2.44322e-235
187	0	0	3.1516e-237
188	0	0	4.02869e-239
189	0	0	5.1033e-241
190	0	0	6.40598e-243
191	0	0	7.96821e-245
192	0	0	9.82133e-247
193	0	0	1.19953e-248
194	0	0	1.4517e-250
195	0	0	1.74086e-252
196	0	0	2.0686e-254
197	0	0	2.43562e-256
198	0	0	2.84162e-258
199	0	0	3.28509e-260
200	0	0	3.76318e-262
201	0	0	4.27163e-264
202	0	0	4.80473e-266
203	0	0	5.35533e-268
204	0	0	5.91496e-270
205	0	0	6.47402e-272
206	0	0	7.02201e-274
207	0	0	7.54784e-276
208	0	0	8.04022e-278
209	0	0	8.48804e-280
210	0	0	8.88081e-282
211	0	0	9.20903e-284
212	0	0	9.46464e-286
213	0	0	9.64127e-288
214	0	0	9.73459e-290
215	0	0	9.74239e-292
216	0	0	9.66474e-294
217	0	0	9.50395e-296
218	0	0	9.26443e-298
219	0	0	8.95253e-300
220	0	0	8.57623e-302
221	0	0	8.14479e-304
222	0	0	7.66844e-306
223	0	0	7.15791e-308
224	0	0	6.62407e-310
225	0	0	6.07758e-312
226	0	0	5.52851e-314
227	0	0	4.98611e-316
228	0	0	4.45855e-318
229	0	0	3.95104e-320
230	0	0	3.35965e-322
